Model,Acc_Mean,Acc_Std,Prec_Mean,Prec_Std,F1_Mean,F1_Std
FAST,0.6693333333333332,0.07861014918924626,0.6896312696018578,0.08460201035692254,0.6667244199920469,0.08396522622554344
FAST_global,0.6693333333333333,0.0,0.6708696568720384,0.0,0.6691967670361427,0.0
